Band,Danceability,Energy,Loudness
Coldplay,0.4022716216216216,0.5932630630630631,-9.031563063063063
Radiohead,0.40194166666666664,0.5540348958333333,-10.356078125
The National,0.4932017937219731,0.6012511210762332,-10.081488789237667
