artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,track_name,preview_link,track_number,type,track_uri,is_local,external_urls.spotify,album_name,key_name,mode_name,key_mode
The National,2cCUtGK9sDU2EoElnk0GNB,7re8T0K3s8v3S3xeiQcOYi,album,,2023-09-18,2023,day,0.386,0.693,7,-8.326,0,0.0595,0.557,0.325,0.0925,0.368,182.154,7H2VpGKZKgCSVfz8tcnLul,https://api.spotify.com/v1/audio-analysis/7H2VpGKZKgCSVfz8tcnLul,4,,,1,275133,FALSE,https://api.spotify.com/v1/tracks/7H2VpGKZKgCSVfz8tcnLul,Crumble (feat. Rosanne Cash),https://p.scdn.co/mp3-preview/1cecc45cc75c182136bc6e8135c6877af6009bdd?cid=795c1ae4c405408080ee97f999b44cc2,11,track,spotify:track:7H2VpGKZKgCSVfz8tcnLul,FALSE,https://open.spotify.com/track/7H2VpGKZKgCSVfz8tcnLul,Laugh Track,G,minor,G minor
The National,2cCUtGK9sDU2EoElnk0GNB,7re8T0K3s8v3S3xeiQcOYi,album,,2023-09-18,2023,day,0.38,0.835,0,-7.926,1,0.0549,0.0278,0.666,0.337,0.497,80.945,19UdMxbNoAmQcgrF8kXaSb,https://api.spotify.com/v1/audio-analysis/19UdMxbNoAmQcgrF8kXaSb,4,,,1,467053,FALSE,https://api.spotify.com/v1/tracks/19UdMxbNoAmQcgrF8kXaSb,Smoke Detector,https://p.scdn.co/mp3-preview/29b047642e2c72b3a363ad06d2056e2026549874?cid=795c1ae4c405408080ee97f999b44cc2,12,track,spotify:track:19UdMxbNoAmQcgrF8kXaSb,FALSE,https://open.spotify.com/track/19UdMxbNoAmQcgrF8kXaSb,Laugh Track,C,major,C major
The National,2cCUtGK9sDU2EoElnk0GNB,5Mc6uebYtKnRc5I7bjlNB6,album,,2023-04-28,2023,day,0.479,0.341,1,-11.064,1,0.0301,0.811,0.00141,0.107,0.272,88.977,4xAHN13Q8MgKXO18rSyvzU,https://api.spotify.com/v1/audio-analysis/4xAHN13Q8MgKXO18rSyvzU,4,,,1,216426,FALSE,https://api.spotify.com/v1/tracks/4xAHN13Q8MgKXO18rSyvzU,Once Upon A Poolside (feat. Sufjan Stevens),https://p.scdn.co/mp3-preview/c0281123c836da62832e486974eaa233182aa8da?cid=795c1ae4c405408080ee97f999b44cc2,1,track,spotify:track:4xAHN13Q8MgKXO18rSyvzU,FALSE,https://open.spotify.com/track/4xAHN13Q8MgKXO18rSyvzU,First Two Pages of Frankenstein,C#,major,C# major
The National,2cCUtGK9sDU2EoElnk0GNB,5Mc6uebYtKnRc5I7bjlNB6,album,,2023-04-28,2023,day,0.517,0.733,8,-7.32,1,0.0452,0.298,0.0253,0.101,0.385,116.026,7mUbWcWPImNVcLcNewe2Dy,https://api.spotify.com/v1/audio-analysis/7mUbWcWPImNVcLcNewe2Dy,4,,,1,264960,FALSE,https://api.spotify.com/v1/tracks/7mUbWcWPImNVcLcNewe2Dy,Eucalyptus,https://p.scdn.co/mp3-preview/2a166cd0b952ad83bd3902b01d5b918cac796458?cid=795c1ae4c405408080ee97f999b44cc2,2,track,spotify:track:7mUbWcWPImNVcLcNewe2Dy,FALSE,https://open.spotify.com/track/7mUbWcWPImNVcLcNewe2Dy,First Two Pages of Frankenstein,G#,major,G# major
The National,2cCUtGK9sDU2EoElnk0GNB,5Mc6uebYtKnRc5I7bjlNB6,album,,2023-04-28,2023,day,0.558,0.747,3,-8.76,1,0.0489,0.387,0.00514,0.0942,0.372,103.42,0o9AwotmTahKoEOHZTtgIk,https://api.spotify.com/v1/audio-analysis/0o9AwotmTahKoEOHZTtgIk,4,,,1,296000,FALSE,https://api.spotify.com/v1/tracks/0o9AwotmTahKoEOHZTtgIk,New Order T-Shirt,https://p.scdn.co/mp3-preview/be5522ff327e1219f9011a4432bfdff503610a5a?cid=795c1ae4c405408080ee97f999b44cc2,3,track,spotify:track:0o9AwotmTahKoEOHZTtgIk,FALSE,https://open.spotify.com/track/0o9AwotmTahKoEOHZTtgIk,First Two Pages of Frankenstein,D#,major,D# major
The National,2cCUtGK9sDU2EoElnk0GNB,5Mc6uebYtKnRc5I7bjlNB6,album,,2023-04-28,2023,day,0.385,0.565,10,-9.871,1,0.0316,0.744,0.383,0.0873,0.58,180.097,56QXS0Hk7mKpuLaFJQ3x8F,https://api.spotify.com/v1/audio-analysis/56QXS0Hk7mKpuLaFJQ3x8F,4,,,1,244960,FALSE,https://api.spotify.com/v1/tracks/56QXS0Hk7mKpuLaFJQ3x8F,This Isn't Helping (feat. Phoebe Bridgers),https://p.scdn.co/mp3-preview/5e47b19963edb987c2eb58fe7d92e78c06f84b7c?cid=795c1ae4c405408080ee97f999b44cc2,4,track,spotify:track:56QXS0Hk7mKpuLaFJQ3x8F,FALSE,https://open.spotify.com/track/56QXS0Hk7mKpuLaFJQ3x8F,First Two Pages of Frankenstein,A#,major,A# major
The National,2cCUtGK9sDU2EoElnk0GNB,5Mc6uebYtKnRc5I7bjlNB6,album,,2023-04-28,2023,day,0.565,0.818,6,-6.739,0,0.0308,0.0307,0.0123,0.0947,0.719,144.028,6oYXnC1pi6S8GJF32jvdmx,https://api.spotify.com/v1/audio-analysis/6oYXnC1pi6S8GJF32jvdmx,4,,,1,309400,FALSE,https://api.spotify.com/v1/tracks/6oYXnC1pi6S8GJF32jvdmx,Tropic Morning News,https://p.scdn.co/mp3-preview/444c4aa854912d1837627c805e8c8f6d16fbb2cd?cid=795c1ae4c405408080ee97f999b44cc2,5,track,spotify:track:6oYXnC1pi6S8GJF32jvdmx,FALSE,https://open.spotify.com/track/6oYXnC1pi6S8GJF32jvdmx,First Two Pages of Frankenstein,F#,minor,F# minor
The National,2cCUtGK9sDU2EoElnk0GNB,5Mc6uebYtKnRc5I7bjlNB6,album,,2023-04-28,2023,day,0.523,0.617,5,-9.861,0,0.187,0.42,0.201,0.113,0.351,176.037,0qombVfkoyakHvmYg65IUa,https://api.spotify.com/v1/audio-analysis/0qombVfkoyakHvmYg65IUa,4,,,1,247253,FALSE,https://api.spotify.com/v1/tracks/0qombVfkoyakHvmYg65IUa,Alien,https://p.scdn.co/mp3-preview/00ad4a3a4c9710af36c1f545d01b4d4d9d684df5?cid=795c1ae4c405408080ee97f999b44cc2,6,track,spotify:track:0qombVfkoyakHvmYg65IUa,FALSE,https://open.spotify.com/track/0qombVfkoyakHvmYg65IUa,First Two Pages of Frankenstein,F,minor,F minor
The National,2cCUtGK9sDU2EoElnk0GNB,5Mc6uebYtKnRc5I7bjlNB6,album,,2023-04-28,2023,day,0.366,0.47,0,-10.57,1,0.031,0.817,0.00206,0.108,0.429,156.037,6INztpNwOTlfSKTuPo0HOP,https://api.spotify.com/v1/audio-analysis/6INztpNwOTlfSKTuPo0HOP,3,,,1,267773,FALSE,https://api.spotify.com/v1/tracks/6INztpNwOTlfSKTuPo0HOP,The Alcott (feat. Taylor Swift),https://p.scdn.co/mp3-preview/a0ccf80738592298db66ecb376d482930b58e5c4?cid=795c1ae4c405408080ee97f999b44cc2,7,track,spotify:track:6INztpNwOTlfSKTuPo0HOP,FALSE,https://open.spotify.com/track/6INztpNwOTlfSKTuPo0HOP,First Two Pages of Frankenstein,C,major,C major
The National,2cCUtGK9sDU2EoElnk0GNB,5Mc6uebYtKnRc5I7bjlNB6,album,,2023-04-28,2023,day,0.557,0.762,7,-7.234,1,0.0947,0.169,0.175,0.0937,0.395,146.995,5umWFm8z7wv3tPYc8Vw321,https://api.spotify.com/v1/audio-analysis/5umWFm8z7wv3tPYc8Vw321,4,,,1,237920,FALSE,https://api.spotify.com/v1/tracks/5umWFm8z7wv3tPYc8Vw321,Grease In Your Hair,https://p.scdn.co/mp3-preview/bc12bed7b73480ac7038e3304c99ce0002b486ef?cid=795c1ae4c405408080ee97f999b44cc2,8,track,spotify:track:5umWFm8z7wv3tPYc8Vw321,FALSE,https://open.spotify.com/track/5umWFm8z7wv3tPYc8Vw321,First Two Pages of Frankenstein,G,major,G major
